Sample,X(ms) [09.03.2026 23:20:33 132 UTC],"Pallet sensor (front)[%I2.2]","Pallet Loading sensor[%I2.0]","MEDSM_Load Sensor[%I2.1]","Pallet Belt +[%Q5.2]"
405,1773098459246.985600,1,1,1,0
406,1773098459308.541200,0,0,0,0
407,1773098459375.134300,0,0,0,0
408,1773098459437.138600,0,0,0,0
409,1773098459501.713800,0,0,0,0
410,1773098459566.752000,0,0,0,0
411,1773098459631.324800,0,0,0,0
412,1773098459698.042000,0,0,0,0
413,1773098459759.965900,0,0,0,0
414,1773098459824.498800,0,0,0,0
415,1773098459888.733600,0,0,0,0
416,1773098459953.065600,0,0,0,0
417,1773098460017.526800,0,0,0,0
418,1773098460082.295700,0,0,0,0
419,1773098460146.945700,0,0,0,0
420,1773098460214.157900,0,0,0,0
421,1773098460276.227900,0,0,0,0
422,1773098460341.509400,0,0,0,0
423,1773098460404.663200,1,1,1,0
424,1773098460468.949800,1,1,1,0
425,1773098460537.182800,1,1,1,0
426,1773098460598.564200,0,0,0,0
427,1773098460662.479800,0,0,0,0
428,1773098460729.548200,0,0,0,0
429,1773098460791.713100,0,0,0,0
430,1773098460855.683300,0,0,0,0
431,1773098460919.915800,0,0,0,0
432,1773098460984.662600,0,0,0,0
433,1773098461049.579000,0,0,0,0
434,1773098461113.721800,0,0,0,0
435,1773098461179.813800,0,0,0,0
436,1773098461242.423800,0,0,0,0
437,1773098461306.896500,0,0,0,0
438,1773098461371.102700,0,0,0,0
439,1773098461436.025100,0,0,0,0
440,1773098461500.599500,0,0,0,0
441,1773098461565.100800,0,0,0,0
442,1773098461630.122700,0,0,0,0
443,1773098461696.566200,0,0,0,0
444,1773098461759.999100,1,1,1,0
445,1773098461822.415500,1,1,1,0
446,1773098461886.938300,0,0,0,0
447,1773098461951.484200,0,0,0,0
448,1773098462016.099000,0,0,0,0
449,1773098462080.800000,0,0,0,0
450,1773098462146.507900,0,0,0,0
451,1773098462209.825300,0,0,0,0
452,1773098462273.776200,0,0,0,0
453,1773098462338.259500,0,0,0,0
454,1773098462402.712100,0,0,0,0
455,1773098462467.193200,0,0,0,0
456,1773098462532.046100,0,0,0,0
