Sample,X(ms) [09.03.2026 23:32:18 281 UTC],"SP X_2[%QD48]","SP Y_2[%QD52]","SP Z_2[%QD56]","SP X_1[%QD36]","SP Y_1[%QD40]","SP Z_1[%QD44]","Box Weight[%ID32]"
330,1773099159331.653400,0,0,0,0,0,0,0
331,1773099159394.735200,0,0,0,0,0,0,0
332,1773099159457.643500,0,0,0,0,0,0,0
333,1773099159521.221300,0,0,0,0,0,0,0
334,1773099159584.730700,0,0,0,0,0,0,0
335,1773099159651.763700,0,0,0,0,0,0,0
336,1773099159712.616000,0,0,0,0,0,0,0
337,1773099159778.774100,0,0,0,0,0,0,0
338,1773099159838.683700,0,0,0,0,0,0,0
339,1773099159903.303300,0,0,0,0,0,0,0.0467880256474018
340,1773099159964.680900,0,0,0,0,0,0,0
341,1773099160032.551100,0,0,0,0,0,0,0
342,1773099160093.407500,0,0,0,0,0,0,0
343,1773099160157.636300,0,0,0,0,0,0,0
344,1773099160223.551400,0,0,0,0,0,0,0
345,1773099160286.308400,0,0,0,0,0,0,0
346,1773099160350.998700,0,0,0,0,0,0,0
347,1773099160417.585800,0,0,0,0,0,0,0
348,1773099160478.949100,0,0,0,0,0,0,0
349,1773099160543.835500,0,0,0,0,0,0,0
350,1773099160608.376100,0,0,0,0,0,0,0
351,1773099160673.672000,0,0,0,0,0,0,0
352,1773099160740.601500,0,0,0,0,0,0,0
353,1773099160803.594800,0,0,0,0,0,0,0
354,1773099160868.502400,0,0,0,0,0,0,0
355,1773099160937.105500,0,0,0,0,0,0,0
356,1773099160997.497200,0,0,0,0,0,0,0.0811141952872276
357,1773099161064.080400,0,0,0,0,0,0,0
358,1773099161125.956000,0,0,0,0,0,0,0
359,1773099161190.311700,0,0,0,0,0,0,0
360,1773099161254.575200,0,0,0,0,0,0,0
361,1773099161324.107400,0,0,0,0,0,0,0
362,1773099161386.458000,0,0,0,0,0,0,0
363,1773099161450.239000,0,0,0,0,0,0,0
364,1773099161512.706100,0,0,0,0,0,0,0
365,1773099161579.761000,0,0,0,0,0,0,0
366,1773099161642.767600,0,0,0,0,0,0,0
367,1773099161708.542800,0,0,0,0,0,0,0
368,1773099161772.975200,0,0,0,0,0,0,0
369,1773099161836.712800,0,0,0,0,0,0,0
370,1773099161903.945400,0,0,0,0,0,0,0
371,1773099161966.364400,0,0,0,0,0,0,0
372,1773099162029.652700,0,0,0,0,0,0,0
373,1773099162096.087700,0,0,0,0,0,0,0
374,1773099162159.909400,0,0,0,0,0,0,0
375,1773099162223.744000,0,0,0,0,0,0,0
376,1773099162292.629200,0,0,0,0,0,0,0.00182952883187681
377,1773099162354.273900,0,0,0,0,0,0,0
378,1773099162419.743000,0,0,0,0,0,0,0
379,1773099162483.269700,0,0,0,0,0,0,0
380,1773099162547.609900,0,0,0,0,0,0,0
381,1773099162611.917900,0,0,0,0,0,0,0
382,1773099162676.242400,0,0,0,0,0,0,0
383,1773099162743.342100,0,0,0,0,0,0,0
384,1773099162805.209500,0,0,0,0,0,0,0
385,1773099162872.549600,0,0,0,0,0,0,0
386,1773099162938.655000,0,0,0,0,0,0,0
387,1773099163002.760800,0,0,0,0,0,0,0
388,1773099163066.404500,0,0,0,0,0,0,0
389,1773099163134.943900,0,0,0,0,0,0,0
390,1773099163195.149300,0,0,0,0,0,0,0
391,1773099163259.631000,0,0,0,0,0,0,0
392,1773099163323.855100,0,0,0,0,0,0,0
393,1773099163388.268600,0,0,0,0,0,0,0
394,1773099163453.515400,0,0,0,0,0,0,0
395,1773099163517.616100,0,0,0,0,0,0,0
396,1773099163583.376900,0,0,0,0,0,0,0
397,1773099163651.283100,0,0,0,0,0,0,0.0819885283708572
398,1773099163711.276800,0,0,0,0,0,0,0
399,1773099163776.685500,0,0,0,0,0,0,0
400,1773099163839.803500,0,0,0,0,0,0,0
401,1773099163904.037400,0,0,0,0,0,0,0
402,1773099163969.104100,0,0,0,0,0,0,0
403,1773099164032.893200,0,0,0,0,0,0,0
404,1773099164099.200300,0,0,0,0,0,0,0
405,1773099164162.106000,0,0,0,0,0,0,0
406,1773099164226.810200,0,0,0,0,0,0,0
407,1773099164291.264900,0,0,0,0,0,0,0
408,1773099164356.860700,0,0,0,0,0,0,0
409,1773099164420.186000,0,0,0,0,0,0,0
410,1773099164484.579900,0,0,0,0,0,0,0
411,1773099164551.135600,0,0,0,0,0,0,0
412,1773099164613.910200,0,0,0,0,0,0,0
413,1773099164678.050300,0,0,0,0,0,0,0.0550445541739464
414,1773099164743.086500,0,0,0,0,0,0,0.015753174200654
415,1773099164807.192100,0,0,0,0,0,0,0
416,1773099164871.999600,0,0,0,0,0,0,0
417,1773099164936.926500,0,0,0,0,0,0,0
418,1773099165002.795700,0,0,0,0,0,0,0
419,1773099165065.185200,0,0,0,0,0,0,0
420,1773099165129.792400,0,0,0,0,0,0,0
421,1773099165194.528100,0,0,0,0,0,0,0
422,1773099165259.194300,0,0,0,0,0,0,0
423,1773099165323.597200,0,0,0,0,0,0,0
424,1773099165387.101700,0,0,0,0,0,0,0
425,1773099165454.900200,0,0,0,0,0,0,0
426,1773099165516.729100,0,0,0,0,0,0,0
427,1773099165581.309900,0,0,0,0,0,0,0
428,1773099165645.347000,0,0,0,0,0,0,0
429,1773099165709.810100,0,0,0,0,0,0,0
430,1773099165774.340300,0,0,0,0,0,0,0
431,1773099165839.826300,0,0,0,0,0,0,0
432,1773099165903.595000,0,0,0,0,0,0,0
433,1773099165967.718300,0,0,0,0,0,0,0
434,1773099166032.346200,0,0,0,0,0,0,0
435,1773099166098.476700,0,0,0,0,0,0,0
436,1773099166161.940000,0,0,0,0,0,0,0
437,1773099166226.273700,0,0,0,0,0,0,0
438,1773099166290.689700,0,0,0,0,0,0,0
439,1773099166354.555300,0,0,0,0,0,0,0
440,1773099166418.815900,0,0,0,0,0,0,0
441,1773099166483.346600,0,0,0,0,0,0,0
442,1773099166547.826000,0,0,0,0,0,0,0
443,1773099166612.515000,0,0,0,0,0,0,0
444,1773099166680.997100,0,0,0,0,0,0,0
445,1773099166741.544300,0,0,0,0,0,0,0
446,1773099166806.532500,0,0,0,0,0,0,0
447,1773099166870.330400,0,0,0,0,0,0,0
448,1773099166934.658200,0,0,0,0,0,0,0
449,1773099166999.296600,0,0,0,0,0,0,0
450,1773099167063.814300,0,0,0,0,0,0,0
451,1773099167128.091000,0,0,0,0,0,0,0
452,1773099167192.630700,0,0,0,0,0,0,0
453,1773099167259.827000,0,0,0,0,0,0,0
454,1773099167321.203800,0,0,0,0,0,0,0
455,1773099167385.740500,0,0,0,0,0,0,0
456,1773099167450.525300,0,0,0,0,0,0,0
457,1773099167515.240700,0,0,0,0,0,0,0
458,1773099167579.512000,0,0,0,0,0,0,0
459,1773099167646.392600,0,0,0,0,0,0,0
460,1773099167708.203300,0,0,0,0,0,0,0
461,1773099167772.706300,0,0,0,0,0,0,0
462,1773099167836.568100,0,0,0,0,0,0,0
463,1773099167901.312100,0,0,0,0,0,0,0
464,1773099167966.009900,0,0,0,0,0,0,0
465,1773099168030.681400,0,0,0,0,0,0,0
466,1773099168094.683000,0,0,0,0,0,0,0
467,1773099168160.086400,0,0,0,0,0,0,0
468,1773099168224.193700,0,0,0,0,0,0,0
469,1773099168288.901000,0,0,0,0,0,0,0.0110763553529978
470,1773099168352.325400,0,0,0,0,0,0,0
471,1773099168416.975600,0,0,0,0,0,0,0
472,1773099168481.399300,0,0,0,0,0,0,0
473,1773099168548.070300,0,0,0,0,0,0,0
474,1773099168610.041900,0,0,0,0,0,0,0
475,1773099168674.922900,0,0,0,0,0,0,0
476,1773099168739.375400,0,0,0,0,0,0,0
477,1773099168803.537200,0,0,0,0,0,0,0
478,1773099168867.951600,0,0,0,0,0,0,0
479,1773099168932.622600,0,0,0,0,0,0,0
480,1773099168999.610600,0,0,0,0,0,0,0
481,1773099169061.170100,0,0,0,0,0,0,0
482,1773099169127.282100,0,0,0,0,0,0,0
483,1773099169190.573800,0,0,0,0,0,0,0
484,1773099169254.971800,0,0,0,0,0,0,0
485,1773099169318.832700,0,0,0,0,0,0,0.028533935546875
486,1773099169383.750300,0,0,0,0,0,0,0
487,1773099169448.260900,0,0,0,0,0,0,0.0356033332645893
488,1773099169514.532500,0,0,0,0,0,0,0
489,1773099169577.279700,0,0,0,0,0,0,0
490,1773099169642.254100,0,0,0,0,0,0,0
491,1773099169706.328400,0,0,0,0,0,0,0
492,1773099169770.405400,0,0,0,0,0,0,0
493,1773099169834.827200,0,0,0,0,0,0,0
494,1773099169899.388800,0,0,0,0,0,0,0
495,1773099169967.296200,0,0,0,0,0,0,0
496,1773099170029.862800,0,0,0,0,0,0,0
497,1773099170095.313500,0,0,0,0,0,0,0
498,1773099170158.631600,0,0,0,0,0,0,0
499,1773099170222.756300,0,0,0,0,0,0,0
500,1773099170287.377300,0,0,0,0,0,0,0
501,1773099170352.041800,0,0,0,0,0,0,0
